,name,flights
0,ALASKA AIRLINES,4
1,AMERICAN AIRLINES,19
2,ATLAS AIR,1
3,BOEING COMPANY,1
4,BOUTIQUE AIR,2
5,C C & E I,1
6,CAIQUEN LEASING,1
7,CARGO AIRCRAFT MANAGEMENT,2
8,DELTA AIR LINES,13
9,FEDERAL EXPRESS,13
10,HAWAIIAN AIRLINES,1
11,HORIZON AIR,2
12,JETBLUE AIRWAYS,3
13,KALITTA AIR,5
14,KALITTA CHARTERS II,1
15,MOKULELE FLIGHT SERVICE,4
16,NATIONAL AIRLINES,1
17,PRIVATE OWNER,1
18,QUARTER SHARE TRUST,1
19,SKYWEST AIRLINES,12
20,SOUTHWEST AIRLINES,24
21,SPIRIT AIRLINES,3
22,TVPX AIRCRAFT SOLUTIONS TRUSTEE,1
23,U S BANK NATIONAL ASSOCIATION TRUSTEE,1
24,UAS TRANSERVICES,1
25,UNITED AIRLINES,16
26,US AIRWAYS,3
27,US BANK NA TRUSTEE,1
28,V28V 3465 OWNER STATUTORY TRUST,1
29,VIRGIN AMERICA,2
