,name,flights
0,AERO MCPLANEFACE,1
1,AFS INVESTMENTS 48,1
2,AFS INVESTMENTS 54,1
3,AFS INVESTMENTS 55,1
4,AFS INVESTMENTS 67,3
5,AIR RIGHTS AVIATION,1
6,ALASKA AIRLINES,41
7,ALC A332 1316,1
8,AMERICAN AIRLINES,122
9,AMERICAN AIRLINES ,1
10,ANSCHUTZ CORP,1
11,ATLAS AIR,2
12,AWAS 4991 TRUST,1
13,BANK OF UTAH TRUSTEE,18
14,BE AVIATION,1
15,CANAL AIR,1
16,CARAVAN CHARTERS,1
17,CARGO AIRCRAFT MANAGEMENT,2
18,CURLY,1
19,DB AVIATION,1
20,DELTA AIR LINES,118
21,DSG FINANCE,1
22,EWS III,1
23,FLEXJET,1
24,GLOBUS AVIATION,1
25,HAWAIIAN AIRLINES,2
26,HIG AVIATION GROUP,1
27,HOGS HEAD AIR I,1
28,HORIZON AIR INDUSTRIES,9
29,JET BLUE AIRWAYS CORP,1
30,JET-I 2616 OWNER TRUST,1
31,JET-I 2979 OWNER STATUTORY TRUST,1
32,JETBLUE AIRWAYS,1
33,JETBLUE AIRWAYS CORP,24
34,KALITTA AIR,1
35,KALITTA CHARTERS II,1
36,LYNCH FLYING SERVICE DBA,1
37,MANDALAY RESORT GROUP,1
38,MASIMO 17,1
39,MOKULELE FLIGHT SERVICE,2
40,N524VA TRUST,1
41,N742AR,1
42,NETJETS SALES,10
43,NJI SALES,1
44,PEACH STATE TRUCK CENTERS,1
45,PERETZ AMIEL,1
46,PROFESSIONAL JET VI,1
47,RENAISSANCE AIR,1
48,SKYWEST AIRLINES,108
49,SOUTHWEST AIRLINES,93
50,SPIREDELL TRUST,1
51,SPIRIT AIRLINES,18
52,SUNRISE ASSET MANAGEMENT,4
53,SWIFT AIR,1
54,TARGARYEN,3
55,TEXTRON FINANCIAL CORP,1
56,TVPX AIRCRAFT SOLUTIONS TR,1
57,TVPX ARS TRUSTEE,1
58,TWO O EIGHT,6
59,U S BANK NA TRUSTEE,4
60,UMB BANK N A TRUSTEE,2
61,UMB BANK NA TRUSTEE,5
62,UNITED AIRLINES,74
63,US BANK NA TRUSTEE,3
64,V28V 3460 OWNER STATUTORY TRUST,2
65,VMI ENTERPRISES,1
66,WELLS FARGO TRUST CO NA TRUSTEE,108
67,WELLS FARGO TRUST CO TRUSTEE,1
68,WILMINGTON TRUST CO TRUSTEE,26
69,WINGS 35115,1
